, N° do imóvel,UF,Cidade,Bairro,Endereço,Preço,Valor de avaliação,Desconto,Descrição,Modalidade de venda,Link de acesso,Tipo de Lugar,Area Total,Area Privativa,Area do Terreno,Quartos,Garagem,Sala,Descrição Extra
34,1444405293332.0,SP ,AMERICANA ,VILA GALO ,"AVENIDA MARGINAL, N. 1221, Apto 11, . ","228.655,46","218.000,00",0.0,"Apartamento, 0.00 de área total, 52.85 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405293332,Apartamento,0.00,52.85,0.00,3,1,1," Imóvel NÃO aceita utilização de FGTS.
 FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
35,8555526353182.0,SP ,AMERICANA ,VILA DAINESE ,"RUA JOSE ZANETTI, N. 97, Apto 1202, BL 01 ","207.620,54","188.000,00",0.0,"Apartamento, 0.00 de área total, 53.45 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555526353182,Apartamento,0.00,53.45,0.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
36,8787705862821.0,SP ,AMERICANA ,FAZENDA SAO DOMINGOS ,"AVENIDA SAO JERONIMO, N. 2750, Apto 104, BL 27 ","175.990,64","142.000,00",0.0,"Apartamento, 0.00 de área total, 38.92 de área privativa, 0.00 de área do terreno.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705862821,Apartamento,0.00,38.92,0.00,0,0,0," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
37,10167291.0,SP ,AMERICO BRASILIENSE ,JARDIM SAO JOSE ,"AVENIDA JULIO CORREIA ARRUDA, N. 512, LT 3, QD 41 ","593.474,21","572.188,06",0.0,"Comercial, 0.00 de área total, 252.34 de área privativa, 312.00 de área do terreno.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10167291,Comercial,0.00,252.34,312.00,0,0,0," Imóvel NÃO aceita utilização de FGTS.
 Imóvel NÃO aceita financiamento habitacional.
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio.
 Imóvel com ação judicial: 50011498820234036120."
38,10006530.0,SP ,AMERICO BRASILIENSE ,CENTRO ,"RUA EMILIA GALLI, N. 433, CENTRO - NO LOCAL 435 ","380.000,00","255.000,00",0.0,"Casa, 0.00 de área total, 88.20 de área privativa, 528.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10006530,Casa,0.00,88.20,528.00,2,0,1," Imóvel NÃO aceita utilização de FGTS.
 Imóvel NÃO aceita financiamento habitacional.
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
39,10006529.0,SP ,AMERICO BRASILIENSE ,CENTRO ,"RUA EMILIA GALLI, N. 443 ","336.000,00","212.000,00",0.0,"Terreno, 0.00 de área total, 0.00 de área privativa, 480.00 de área do terreno.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10006529,Terreno,0.00,0.00,480.00,0,0,0," Imóvel NÃO aceita utilização de FGTS.
 Imóvel NÃO aceita financiamento habitacional.
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
40,10006531.0,SP ,AMERICO BRASILIENSE ,CENTRO ,"RUA EMILIA GALLI, N. 423 ","366.000,00","185.000,00",0.0,"Casa, 0.00 de área total, 100.00 de área privativa, 480.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10006531,Casa,0.00,100.00,480.00,2,0,1," Imóvel NÃO aceita utilização de FGTS.
 Imóvel NÃO aceita financiamento habitacional.
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio.
 Existe área não averbada."
42,8555539666761.0,SP ,ANDRADINA ,LOTEAMENTO RESIDENCIAL ALTO DOS IPES ,"RUA DR CELSO CHARURI, N. 351, CS 080 QD E ","131.224,96","130.000,00",0.0,"Casa, 0.00 de área total, 55.05 de área privativa, 140.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555539666761,Casa,0.00,55.05,140.00,3,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
45,8555512209912.0,SP ,ARACATUBA ,AEROPORTO ,"VIA AGNALDO FERNANDES, N. SN, CS 406 ","88.320,00","147.200,00",40.0,"Casa, 0.00 de área total, 52.47 de área privativa, 80.00 de área do terreno.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555512209912,Casa,0.00,52.47,80.00,0,0,0," Imóvel NÃO aceita utilização de FGTS.
 Imóvel NÃO aceita financiamento habitacional.
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
46,8412200006544.0,SP ,ARACATUBA ,CENTRO ,"RUA MANOEL JOAQUIM DE SOUZA, N. 236, L 14 QD 07 ","49.800,00","83.000,00",40.0,"Casa, 0.00 de área total, 40.28 de área privativa, 170.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8412200006544,Casa,0.00,40.28,170.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
